llave año-equipo local,llave año-equipo visitante,año,equipo local,marcador local,marcador visitante,equipo visitante,Total Mercado (€ M) local,Portero (€ M) local,Defensa (€ M) local,Mediocampo (€ M) local,Delantera (€ M)  local,% Ganado local,% Emape Casa local,% derrota local,Dominancia en puntos local,Total Mercado (€ M) visita,Portero (€ M) visita,Defensa (€ M) visita,Mediocampo (€ M) visita,Delantera (€ M)  visita,% Ganado Visita ,% Empate Visita ,% Derrota Visitante,Dominancia en puntos visita,resultado
2024-América,2024-Cruz Azul,2024,América,1,0,Cruz Azul,92.45,9.25,27.73,27.73,27.73,65%,22%,22%,133,78.85,7.89,23.66,23.66,23.66,52%,24%,24%,107,gana local
2024-Cruz Azul,2024-América,2024,Cruz Azul,1,1,América,78.85,7.89,23.66,23.66,23.66,71%,24%,5%,107,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,empate
2024-América,2024-Chivas,2024,América,1,0,Chivas,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,24%,24%,53%,99,gana local
2024-Chivas,2024-América,2024,Chivas,0,0,América,70.2,7.02,21.06,21.06,21.06,44%,33%,22%,99,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,empate
2024-América,2024-Pachuca,2024,América,1,1,Pachuca,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,56.6,5.66,16.98,16.98,16.98,26%,16%,58%,98,empate
2024-Pachuca,2024-América,2024,Pachuca,1,1,América,56.6,5.66,16.98,16.98,16.98,39%,33%,28%,98,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,empate
2024-Puebla,2024-América,2024,Puebla,1,2,América,24.1,2.41,7.23,7.23,7.23,24%,12%,65%,34,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana visitante
2024-Pumas,2024-América,2024,Pumas,2,1,América,47.6,4.76,14.28,14.28,14.28,50%,17%,33%,75,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana local
2024-América,2024-Toluca,2024,América,5,1,Toluca,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,77.45,7.75,23.24,23.24,23.24,38%,33%,29%,118,gana local
2024-Santos Laguna,2024-América,2024,Santos Laguna,1,1,América,35.9,3.59,10.77,10.77,10.77,24%,18%,59%,46,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,empate
2024-América,2024-Atlético San Luis,2024,América,2,1,Atlético San Luis,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,45.95,4.6,13.84,13.84,13.84,21%,16%,63%,59,gana local
2024-Chivas,2024-América,2024,Chivas,0,0,América,70.2,7.02,21.06,21.06,21.06,44%,33%,22%,99,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,empate
2024-América,2024-Tigres,2024,América,2,0,Tigres,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,30%,30%,40%,107,gana local
2024-América,2024-Cruz Azul,2024,América,1,0,Cruz Azul,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,78.85,7.89,23.66,23.66,23.66,52%,24%,24%,107,gana local
2024-América,2024-Mazatlán,2024,América,2,2,Mazatlán,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,31.45,3.15,9.44,9.44,9.44,6%,29%,65%,40,empate
2024-Pachuca,2024-América,2024,Pachuca,2,1,América,56.6,5.66,16.98,16.98,16.98,39%,33%,28%,98,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana local
2024-León,2024-América,2024,León,0,1,América,29.55,2.96,8.87,8.87,8.87,39%,39%,22%,87,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana visitante
2024-América,2024-Monterrey,2024,América,1,1,Monterrey,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,88.6,8.86,26.58,26.58,26.58,38%,24%,38%,118,empate
2024-Juarez,2024-América,2024,Juarez,0,2,América,NULL,NULL,NULL,NULL,NULL,28%,33%,39%,55,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana visitante
2024-América,2024-Querétaro,2024,América,2,0,Querétaro,92.45,9.25,27.73,27.73,27.73,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,18%,18%,65%,64,gana local
2024-Xolos,2024-América,2024,Xolos,0,2,América,NULL,NULL,NULL,NULL,NULL,55%,15%,30%,49,92.45,9.25,27.73,27.73,27.73,38%,29%,33%,133,gana visitante
2023-América,2023-Tigres,2023,América,0,0,Tigres,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,30%,30%,40%,107,empate
2023-Tigres,2023-América,2023,Tigres,1,1,América,67.6,6.76,20.28,20.28,20.28,70%,25%,5%,107,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,empate
2023-América,2023-Atlético San Luis,2023,América,0,2,Atlético San Luis,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,35.85,3.59,10.77,10.77,10.77,21%,16%,63%,59,gana visitante
2023-Atlético San Luis,2023-América,2023,Atlético San Luis,0,5,América,35.85,3.59,10.77,10.77,10.77,68%,5%,26%,59,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,gana visitante
2023-América,2023-León,2023,América,2,0,León,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,41.5,4.15,12.45,12.45,12.45,28%,28%,44%,87,gana local
2023-León,2023-América,2023,León,2,2,América,41.5,4.15,12.45,12.45,12.45,39%,39%,22%,87,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,empate
2023-Tigres,2023-América,2023,Tigres,0,0,América,67.6,6.76,20.28,20.28,20.28,70%,25%,5%,107,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,empate
2023-América,2023-Xolos,2023,América,3,0,Xolos,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,28%,22%,50%,49,gana local
2023-Atlético San Luis,2023-América,2023,Atlético San Luis,0,1,América,35.85,3.59,10.77,10.77,10.77,68%,5%,26%,59,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,gana visitante
2023-América,2023-Santos Laguna,2023,América,4,3,Santos Laguna,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,0%,12%,88%,46,gana local
2023-Mazatlán,2023-América,2023,Mazatlán,1,2,América,35.05,3.5,10.51,10.51,10.51,29%,47%,24%,40,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,gana visitante
2023-América,2023-Pachuca,2023,América,4,0,Pachuca,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,51.25,5.13,15.38,15.38,15.38,26%,16%,58%,98,gana local
2023-América,2023-Pumas,2023,América,1,0,Pumas,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,30%,25%,45%,75,gana local
2023-Querétaro,2023-América,2023,Querétaro,1,2,América,21.45,2.14,6.44,6.44,6.44,35%,12%,53%,64,84.2,8.42,25.26,25.26,25.26,38%,29%,33%,133,gana visitante
2023-América,2023-Chivas,2023,América,4,0,Chivas,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,24%,24%,53%,99,gana local
2023-América,2023-Necaxa,2023,América,3,2,Necaxa,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,40,4,12,12,12,28%,28%,44%,77,gana local
2023-América,2023-Atlas,2023,América,1,1,Atlas,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,30.7,3.07,9.21,9.21,9.21,26%,32%,42%,60,empate
2023-América,2023-Puebla,2023,América,3,0,Puebla,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,26.7,2.67,8.01,8.01,8.01,12%,18%,71%,34,gana local
2023-América,2023-Juarez,2023,América,1,2,Juarez,84.2,8.42,25.26,25.26,25.26,65%,22%,13%,133,NULL,NULL,NULL,NULL,NULL,35%,18%,47%,55,gana visitante
2024-Atlas,2024-Chivas,2024,Atlas,0,1,Chivas,28.95,2.9,8.68,8.68,8.68,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,24%,24%,53%,99,gana visitante
2024-Cruz Azul,2024-Atlas,2024,Cruz Azul,2,2,Atlas,78.85,7.89,23.66,23.66,23.66,71%,24%,5%,107,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,empate
2024-Atlas,2024-Atlético San Luis,2024,Atlas,2,1,Atlético San Luis,28.95,2.9,8.68,8.68,8.68,NULL,NULL,NULL,60,45.95,4.6,13.84,13.84,13.84,21%,16%,63%,59,gana local
2024-Toluca,2024-Atlas,2024,Toluca,4,1,Atlas,77.45,7.75,23.24,23.24,23.24,76%,19%,5%,118,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,gana local
2024-Puebla,2024-Atlas,2024,Puebla,2,2,Atlas,24.1,2.41,7.23,7.23,7.23,24%,12%,65%,34,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,empate
2024-Tigres,2024-Atlas,2024,Tigres,1,1,Atlas,67,6.7,20.1,20.1,20.1,70%,25%,5%,107,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,empate
2024-Atlas,2024-León,2024,Atlas,0,1,León,28.95,2.9,8.68,8.68,8.68,NULL,NULL,NULL,60,29.55,2.96,8.87,8.87,8.87,28%,28%,44%,87,gana visitante
2024-Atlas,2024-Pumas,2024,Atlas,0,0,Pumas,28.95,2.9,8.68,8.68,8.68,NULL,NULL,NULL,60,47.6,4.76,14.28,14.28,14.28,30%,25%,45%,75,empate
2024-Mazatlán,2024-Atlas,2024,Mazatlán,2,0,Atlas,31.45,3.15,9.44,9.44,9.44,29%,47%,24%,40,28.95,2.9,8.68,8.68,8.68,26%,32%,42%,60,gana local
